영화 ID,제목,원제,개봉일,줄거리,장르,국가,제작사,포스터 URL,러닝타임,평점,투표수,인기도,감독,주연
1324300,목록1/묻어있는,목록1/묻어있는,2001-01-01,,,,,https://image.tmdb.org/t/p/w500/9lAKlGuaiEawDOEZuFKutUVIHLW.jpg,10,0,0,0.0453,Chegy,
1054893,주민등록증을 찢어라!,주민등록증을 찢어라!,2001-01-01,,다큐멘터리,,,https://image.tmdb.org/t/p/w500/2XUYs0GfVyQByLn2owDM9C3sv5T.jpg,50,0,0,0.0286,Mario Lee,
950743,아름다운 파도와 바다,아름다운 파도와 바다,2001-01-01,"미군 부대에서 몸을 팔던 창녀의 딸 바다와 모래는 배다른 오빠 찍새와 함께 어린시절을 보낸다. 그러던 어느날 엄마는 미군과 눈이 맞아 셋만을 남겨둔채 어디론가 사라지고 불량한 생활을 하며 환각에 취한 이복 오빠 찍새에 의해 겁탈당한 바다는 정상적인 삶을 포기하고 엄마를 찾기 위해 미군부대에서 일하는 혼혈아 짱가를 만나 타락의 끝에 몸을 맡기며 살아간다. 그러나 옥탑방에서 기거하며 살아가는 바다와 파도 앞에 교도소에서 출소한 찍새가 나타나고, 미군부대에서 돌고있는 엄마의 포르노 테잎을 짱가로 부터 받아보게 된 바다는 충격을 못이겨 달리는 열차에 몸을 던지고 마는데...",,,,https://image.tmdb.org/t/p/w500/svD3NZnjG0nsPvWATsqsaHVoEfj.jpg,83,6,1,0.3686,봉만대,"김한, 정한석, 차소영, 김예림"
939818,샐러리맨 무대리 용하다 용해,샐러리맨 무대리 용하다 용해,2001-01-01,"고달프고 불안한 IMF 시대를 살아가는 직장인들의 삶의 애환을 코믹한 성담론으로 구성한 성인 애니메이션. 강주배 원작을 바탕으로 국내 애니메이션 감독 8명이 참가하여 영상화, 총 17편의 에피소드가 옴니버스 형식으로 구성되었다. 만년 대리 신세를 면치 못하고 있는 무대리는 상사인 마부장에게 온갖 핍박과 스트레스를 받고 산다. 직장에선 다혈질의 마부장과 늘 대립하고, 가정에선 아내 하소연에게 절절 매고 살아가는 무대리. 작은 키, 두꺼운 입술, 작딸막한 키의 볼품없는 무대리이지만 아름다운 아내와 알콩달콩 하루 하루를 살아간다.",애니메이션,South Korea,한국독립애니메이션협회,https://image.tmdb.org/t/p/w500/8zUVpnVKfU75UN2X15AMGmJbryi.jpg,60,0,0,0,Ko Seong-cheol,
931808,부킹 쏘나타,부킹 쏘나타,2001-01-01,LA에 살다가 귀국한 뚜껑과 그의 후배 와와는 나이트에서 이 여자 저 여자와 부킹해서 잠자리에 들며 하루하루를 보내는 것이 삶의 유일한 즐거움인 재벌 2세들. 어느날 나이트 부킹을 통해 만난 여자들과 함께 모텔로 들어간 둘은 한차례 잠자리를 가진 후 여자들이 잠든 사이 서로의 파트너를 바꾼 채 섹스를 즐기지만 여자들은 너무 취해 누가 누군지 구분을 못한다.,,,,https://image.tmdb.org/t/p/w500/9scxHzzFV9oShs6iNLddFGzF724.jpg,94,0,0,0.1064,김봉은,"Lee Seong Geon, Jang Min-Seong, Um Chun-bae"
894962,바다가 육지라면,바다가 육지라면,2001-01-01,,,,,,32,0,0,0.0379,Kim Na-young,
873165,너나 잘해!,너나 잘해!,2001-01-01,,애니메이션,South Korea,Korean Academy of Animation Art,https://image.tmdb.org/t/p/w500/8HI2VmqHLJdurZpDzyWfUKvJlLe.jpg,4,0,0,0.0286,Young-jae Shin,
834185,Kiss:Because I'm a Girl,Kiss:Because I'm a Girl,2001-01-01,,,,,https://image.tmdb.org/t/p/w500/7fHtHw9JObCxXhSIDyZNHF5bQI4.jpg,0,0,0,0.1003,,신현준
681130,한사람,한사람,2001-01-01,서로베르토 신부는 한국 민주화 운동에 헌신한 많은 외국 선교사중에서도 매우 독특한 인물이다. 1964년 29세의 나이에 한국에 와서 2000년 7월 65세를 일기로 작고하실 때까지 그는 가난과 독재로 점철된 한국 현대사의 주변에서 철저히 민중들과 함께 했다. 작품은 풍부한 학식과 가난을 실천하는 그의 정신 그리고 사회 운동에 적극적으로 참여하는 모습과 함께 알콜중독이라는 개인적 역경을 딛고 일어서는 그의 일생을 담았다,다큐멘터리,,,https://image.tmdb.org/t/p/w500/9pdRmZe3wgu2DkJh9qwywRwOxb5.jpg,125,0,0,0.0423,김동원,
678972,감독 허치국,감독 허치국,2001-01-01,,"코미디, 스릴러",,,https://image.tmdb.org/t/p/w500/sYdHlJo9hZSSy54aumDBAC0eKti.jpg,60,0,0,0.0802,Son Jae-gon,Kim Sang-heon
638433,굿 로맨스,굿 로맨스,2001-01-01,,"드라마, 로맨스",,,https://image.tmdb.org/t/p/w500/gwDqkftcayfEQtc7c5w1MmynLkw.jpg,28,0,0,0.1541,이송희일,"박미현, Lee Young-hoon"
282180,플러쉬,플러쉬,2001-01-01,"커다란 힙합바지에 오렌지 색 배낭을 맨 소녀가 강남역 주변을 걷는다. 소녀의 맑지만 초점 없는 눈은 멍들어 있다. 서울 어딘가 인적 없는 오물투성이 공중화장실 변기에 앉아 소녀는 아이를 낳는다. 피 묻은 손으로 물을 내리는 그녀의 등에는 어느새 초록색 날개가 솟아나 있다.  원제는 '홍조를 띄다', '새싹이 돋아나다', '화장실 물을 내리다' 등의 뜻으로 10대 여성을 표현한 제목. 감독은 여고생이 화장실에서 아기를 낳고 유기한 사건에 대한 기사를 접하고 새로운 시도를 해 보고 싶었다고 제작 동기를 밝혔다.",,,,,1,0,0,0.1645,,강혜정
161336,나도 아내가 있었으면 좋겠다,나도 아내가 있었으면 좋겠다,2001-01-13,아파트 단지 내의 지점에서 일하고 있는 은행 대리 김봉수는 서른 안팎의 독신남이다. 그는 여자를 유혹하려고 마술까지 배우는 인물이지만 그런 노력에도 불구하고 결혼이란 행운은 그에게 쉽게 다가오지 않는다. 은행 바로 건너편 빌딩에서 일하고 있는 보습학원 강사 원주. 그녀는 은행을 들락거리다 봉수와 자꾸 마주치게 되고 그가 자신에게도 호감을 갖고 있을 것이라 생각한다. 원주는 용기를 내 봉수에게 데이트를 신청하지만 예상 밖으로 그는 야멸차게 그녀를 거절하는데...,"로맨스, 드라마, 코미디",South Korea,"Barunson E&A, Cinema Service, Sidus",https://image.tmdb.org/t/p/w500/p3ZySrowTajJuP04aWJBZEccxVK.jpg,123,6.4,13,1.3808,박흥식,"전도연, 설경구, 서태화, Heo Jang-geun"
435438,반변증법,반변증법,2001-01-16,,,,,https://image.tmdb.org/t/p/w500/mZCzh3dy3yyIHODpum0mkh7yiJx.jpg,55,0,0,0.0699,Kim Gok,
200986,하루,하루,2001-01-20,"자상하고 섬세한 남자 석윤과 여린 듯 하지만 강한 심성을 가진 여자 진원은 캠퍼스 커플로 만나 결혼한 사이. 수줍은 학생부부로 출발했던 둘이지만 이제 석윤은 아이들의 레고 장난감 디자이너로, 진원은 인정받은 섬유 디자이너로 기반을 잡았다. 부모를 일찍 여의고 이모 손에서 키워진 진원은 유독 모성에 대한 갈망이 심하다. 그러나 둘 사이에는 좀처럼 아이가 생기질 않는다. 어떻게 하든 아내를 행복하게 해주고 싶은 석윤은 진원의 마음을 다독이며 위로하지만 아이에 대한 진원의 갈망은 점점 더 심해진다. 그녀를 바라보는 석윤의 안타까움이 엇갈리는데...","드라마, 로맨스",South Korea,"Cinema Service, Koo & Film",https://image.tmdb.org/t/p/w500/9cdKsAxekPKT7em5CSAaMmpdx06.jpg,112,5,1,0.2777,한지승,"이성재, 고소영, 김창완, 윤소정"
161481,눈물,눈물,2001-01-20,가출한 한(한준)은 거친 친구 창(봉태규)을 만난다. 창과 어울려 다니던 한은 우연히 술집에서 일하는 새리(박근영)를 도와준다. 단란주점에서 접대부로 일하는 란(조은지)은 기둥서방인 창에게 모든 것을 준다. 한은 삐끼로 일하면서 새리를 점점 좋아하게 된다. 새리 또한 한에게 조금씩 마음을 열기 시작한다. 그러나 유흥가 밑바닥 삶을 사는 이들에게 사회는 차가울 뿐이다. 술집 지배인 용호의 맘에 들었던 새리는 용호의 마수에 걸려들고 한과 창은 집단 강간 혐의로 경찰에 쫓기는데...,드라마,South Korea,"Bom Film Productions, KTB Network",https://image.tmdb.org/t/p/w500/7b4ujM7zUQDsDgyygzP3y4nIxG7.jpg,105,4.8,11,0.2307,임상수,"Han Jun, Park Geun-yeong, 봉태규, 조은지"
989020,Ga Wi,Ga Wi,2001-01-24,,,,,,15,0,0,0.0799,Lee Ki-cheol,
501421,장선우 변주곡,장선우 변주곡,2001-01-27,"영국의 영화평론가 토니 레인즈가 만든 장선우 감독과 그의 작품세계에 대한 다큐멘터리. ‘Hair’, ‘Eyes’, ‘Bad’ 등 12개 장으로 구분돼 있다. 장선우 감독의 솔직한 인터뷰뿐만 아니라 제작자, 배우, 평론가 심지어 영화의 전단을 붙였던 사람의 견해를 수록하고 있으며 그의 전 작품들 또한 상당량 인용하고 있다. 거의 벌거벗은 채로 “나는 이기적이다”라고 말하고, 절에서 정치를, 국회의사당 앞에서 성과 나쁜 것들을 이야기하는 장선우 감독은 말미에 그 모든 것이 ‘화엄’이라 말하는 승려의 이야기에 공감을 보낸다.",다큐멘터리,South Korea,,https://image.tmdb.org/t/p/w500/ezwh8iQNk4AMVNuAhsy9cQW2mva.jpg,118,0,0,0.1761,Tony Rayns,"장선우, 문성근, 변영주, Sang Hyun Lee"
271634,7인의 새벽,7인의 새벽,2001-02-03,"택시 스페어 운짱 기훈은 하루를 근근히 이어가는 스물두살 할일없는 청춘이다. 오로지 꿈이 있다면 여자친구 현희와 아담한 노래방 하나 차려 조용히 살고 싶지만 단돈 오천만원이 없어 신세한탄 중이다. 그러던 어느날 새벽운전을 하던 기훈은 갑자기 차로 뛰어든 사내를 치는데... 재수 옴붙었다. 정회장의 정부는 그녀의 또다른 애인과 공모, 로비자금을 가로챈다. 그러나 기쁨도 잠시뿐, 곧 하이눈 호텔로 쳐들어온 정회장의 졸개들과 형사 길수와 재성 그리고 909호를 606호로 착각한 무지막지한 해결사(라이트 光, 파이프 强)들이 엉키고 싸우며 아수라장을 만든다. 상황을 제압한 해결사 라이트 光과 파이프 强이 누구 다리를 잘라야 할지 몰라 갈팡질팡하던 사이 삼십육계 줄행랑을 친 사내는 돈가방을 챙겨 무사히 호텔을 빠져 나오지만 그만 새벽길을 달리던 택시에 치고 만다. 한편, 죽은 사내의 가방에서 어마어마한 돈을 발견한 기훈은 세상 모든 것을 가진 양 흥분을 감추지 못하고 편의점에서 일하는 현희에게 돈가방을 맡긴다. 기훈은 지긋지긋한 이곳을 떠나 펼치게 될 둘만의 달콤한 핑크빛 미래를 꿈꾸는데... 묘연해진 돈가방의 행방을 쫓던 형사 길수와 재성, 돈가방을 찾으려는 정회장의 제안을 받아들인 해결사 라이트 光과 파이프 强 모두 기훈과 현희가 있는 새벽녁의 편의점으로 모여드는데...","코미디, 액션",South Korea,CJ Entertainment,https://image.tmdb.org/t/p/w500/v7ritPwIqccnlesMz0zYRw1aQcv.jpg,102,4,1,0.205,Kim Joo-man,"Lee Ji-hyeon, 조덕현, Jung Eun-Chan"
83013,번지점프를 하다,번지점프를 하다,2001-02-03,"1983년 여름. 첫 눈에 반하는 일 따위는 믿지 않는 국문학과 82학번 서인우(이병헌 분)는 적극적이고 사랑스런 여자 82학번 인태희(이은주 분)를 만난다. 자신의 우산 속에 당돌하게 뛰어들어온 여자 인태희. 비에 젖은 검은 머리, 아름다운 얼굴, 그리고 당돌한 말투까지 인우의 마음은 온통 그녀로 가득 차 버린다. 그녀의 존재로 가슴 설레여하고, 그 사람의 손이 닿은 물건이면 무엇이든 소중하게 간직하며 사랑은 무르익어 간다.","드라마, 로맨스",South Korea,Noon Entertainment,https://image.tmdb.org/t/p/w500/peZNeCwkBTu58JXxyDFfk71pE1y.jpg,101,6.6,45,2.9055,김대승,"이병헌, 이은주, 여현수, 홍수현"
670297,고추 말리기,고추 말리기,2001-02-10,"#할머니 ""이 집 식구들 눈에는 일이 하나도 안 보이나봐. 내 눈에는 일 천지야. 그냥.. 아휴.."" 열아홉에 시집와 화장이라곤 하나도 모르고 집안일만 하다 칠순을 넘긴 할머니. 해도해도 끝이 없는 집안 일에 밖으로 도는 며느리가 야속하기만 하다. 그래도 원래 꿈은 배워서 여자의 삶에 대한 시를 쓰는 시인이 되는 것이셨다는데... #엄마 ""어머, 얘좀 봐. 미쳤나봐. 또 먹어. 밤에... 얘가 어떡할라고..."" 집안 일보다는 바깥일로 바쁘고 여행하기 좋아하고 대장 기질까지 있는 활달한 희선의 엄마. 이것저것 기분전환할데는 많아도 엄마의 고민과 바램은 오로지 하나. 희선이 살빼서 시집가는 것! #희선 ""자기가 언제 밥이라도 차려주고 말을 하던지... 나보고 괴물이래."" 영화를 한다지만 집에서는 게으르고 잠만자는 백수 같은 딸, 희선. 매일 먹고 자는듯 해도 오랜만에 만나자는 친구의 전화에 사무실이 바쁘다는 거짓핑계를 대고 끊고마는 나름의 아픔이 있다. 볕 좋은 9월, 할머니의 주관으로 어김없이 올 해의 고추 말리기 행사는 시작되고 다 이유있는 불만과 고충이 있는 세 여자도 얼굴 부딪힐 일이 많아졌다. 과연 이들 사이에 한 바탕 전쟁이라고 일어날 것인가...","다큐멘터리, 드라마",,,https://image.tmdb.org/t/p/w500/3K4WRT1H0vQT9MOmetoW3I6xj6L.jpg,54,0,0,0.2128,Jang Hee-seon,박준면
