영화 ID,제목,원제,개봉일,줄거리,장르,국가,제작사,포스터 URL,러닝타임,평점,투표수,인기도,감독,주연
1322324,음각,음각,2022-01-01,,,,,,12,0.0,0,0.0362,Kim Min-kyung,
1177422,출산율을 높이는 방법,출산율을 높이는 방법,2022-01-01,"저출산을 해결하기 위해 부총리인 은택은 초능력자인 지애를 데려옵니다. 지애는 설계 초능력자로, 사람들은 지애가 설계한 건물을 지애가 의도한 대로 사용합니다. 은택은 출산율을 높이기 위해 지애에게 전국 모텔 설계 권한을 주며 대학생들이 임신하게 만들어 달라고 요청합니다. 지애는 출산부 장관 자리를 약속 받고 그렇게 하기로 합니다. 시간이 흐르고, 은택의 기대대로 출산율이 급증했습니다. 그러나 아이를 가졌지만, 집이 없고, 출산휴가를 사용했다는 이유로 회사에서 잘리게 된 청년들은 좌절하게 됩니다. 일자리, 주거 등 생존에 대한 기본적인 문제가 해결되지 않은 채, 출산율만 높아진 사회는 혼란에 빠집니다. 출산율을 높인 공로를 인정받아 출산부 장관이 된 지애는 의문사 합니다. 은택은 고출산 문제를 해결하기 위해 이번에는 또 다른 초능력자를 찾아 옵니다. 그 초능력자는 사람들을 바라보기만 해도 불임으로 만듭니다. 은택은 또 다른 초능력자에게 출산율을 낮춰줄 것을 요청합니다.",,,,https://image.tmdb.org/t/p/w500/gzh9RiU9SIxtt3kTVQ8SOe6wCye.jpg,21,0.0,0,0.0143,Ju Gi u,
923317,밀라노 두오모 콘서트,밀라노 두오모 콘서트,2022-01-01,"밀라노의 심장인 두오모 광장이 또 다시 거대한 콘서트홀로 변신한다. 리카르도 샤이가 지휘하는 라 스칼라 필하모닉 오케스트라가 안토닌 드보르작의 교향곡 제9번 e단조 와 20세기가 낳은 가장 독창적이고 천재적인 이탈리아 작곡가로 손꼽히는 니노 로타(Nino Rota)의 서거 40주년을 맞아 그를 위한 헌정곡을 연주한다. ‘보헤미안’인 드보르작의 교향곡 는 미국 민속음악에서 영감을 얻은 박진감 넘치는 리듬으로 세계인의 가장 많은 사랑을 받는 레퍼토리 중 하나이며, 이어서 연주되는 1957년 아카데미 외국어영화상 수상작과 동명(同名)의 발레 모음곡 과 영화  OST는 이탈리아가 낳은 세계적인 두 거장(巨匠)인 페데리코 펠리니 감독과 니노 로타의 오랜 협업의 결실이다.  프로그램:  안토닌 드보르작 Antonin Dvorak  교향곡 제9번 e단조 “신세계로부터” / Symphony No. 9 in E Minor, Op. 95 ‘From the New World’  니노 로타 Nino Rota  발레 모음곡 “길” / Suite dal Balletto “La Strada”  “오케스트라 리허설” OST / “Prova D’Orchestra , Risatine Maliziose e galop”  아르투로 마르케스 Arturo Márquez  단손 제2번 / Danzón No.2",,,,https://image.tmdb.org/t/p/w500/uQNUn1amnRvcLOl6Pzvbqtc73Xc.jpg,88,0.0,0,0.0071,,
1007472,환생연애,환생연애,2022-01-03,,"로맨스, 코미디",South Korea,,https://image.tmdb.org/t/p/w500/joD9opDGNiCVJYeO018xq2A0INa.jpg,6,6.5,2,0.5636,,"고민시, 이도현"
924418,자지만 말구요,자지만 말구요,2022-01-03,나은과 미나 자매 집에 함께 살게 된 사촌 진호.  나은과 단둘이 환영 파티를 하다 술에 취해 정사를 나눈다.,,,,https://image.tmdb.org/t/p/w500/xa61BxSK9vLKoMSrKKA2l45kN7L.jpg,0,0.0,0,0.0286,,
610321,경관의 피,경관의 피,2022-01-05,"출처불명의 막대한 후원금을 받고 고급 빌라, 명품 수트, 외제차를 타며 범죄자들을 수사해온 광역수사대 반장 강윤의 팀에 어느 날 뼛속까지 원칙주의자인 신입경찰 민재가 투입된다. 강윤이 특별한 수사 방식을 오픈하며 점차 가까워진 두 사람이 함께 신종 마약 사건을 수사하던 중 강윤은 민재가 자신의 뒤를 파는 두더지, 즉 언더커버 경찰임을 알게 되고 민재는 강윤을 둘러싼 숨겨진 경찰 조직의 비밀을 마주하게 되는데…",범죄,South Korea,"Leeyang Film, Acemaker Movieworks",https://image.tmdb.org/t/p/w500/cQVOJcX7pUbmRQb0MgM1uqnj0kM.jpg,119,6.5,30,1.4012,Lee Kyu-man,"조진웅, 최우식, 박희순, 권율"
875153,카시오페아,카시오페아,2022-01-06,"이혼 후 변호사, 엄마로 완벽한 삶을 살아가려고 노력하는 수진은 하나뿐인 딸 지나의 미국 유학을 준비하고 있다. 정신없이 바쁜 수진을 위해 아빠 인우가 손녀를 돌보게 되면서 세 사람은 함께 살게 된다. 얼마 후 수진은 교통사고를 당하고, 병원에서 알츠하이머라는 뜻밖의 결과를 듣게 된다. 사랑하는 딸을 잊을까 봐 두려워하는 수진을 위해 아빠 인우는 수진의 곁을 지키고, 기억을 잊어도 살아갈 수 있도록 이들 부녀만의 애틋한 동행이 시작된다.",드라마,South Korea,"Luz y Sonidos, Triple Pictures, Wysiwyg Studios",https://image.tmdb.org/t/p/w500/jZRi9kEFBw4SQTSARnQ9pT1DMLT.jpg,101,7.0,17,1.7738,신연식,"안성기, 서현진, Joo Ye-rim, 김다흰"
924415,처제의 섹스과외,처제의 섹스과외,2022-01-08,지영은 남자 경험이 많은 동생에게 남자친구의 섹스 과외를 부탁한다.,,,,https://image.tmdb.org/t/p/w500/2gIqXr4xjm1C8uieBnmNqfA0wQi.jpg,0,0.0,0,0.0429,,
1413192,Jack The ripper: The Musical,Jack The ripper: The Musical,2022-01-09,,스릴러,,,https://image.tmdb.org/t/p/w500/a1jf1uP9xrRE65PwlgGHA6ueGCu.jpg,150,8.0,1,0.1141,신성우,"Jo Seong yun, 남우현, Jeong Suji, Seo Bum-suk"
1056011,언니가 좋아요,언니가 좋아요,2022-01-09,,"로맨스, 드라마",South Korea,,https://image.tmdb.org/t/p/w500/kMLdIWIQeVSHh5ACF3CPwWdJCZS.jpg,7,0.0,0,0.0561,,"Hyo Rim, Song Yeon"
992354,맛있는 여동생,맛있는 여동생,2022-01-11,애인의 여동생과 문란한 관계에 있는 한 남자의 욕정을 그린 어른들을 위한 섹스 코미디,"코미디, 로맨스, 드라마",South Korea,Road House,https://image.tmdb.org/t/p/w500/t8vXb5riyiYV5zHAJ8VF6p34iKa.jpg,73,0.0,0,0.4259,김창석,민도윤
933798,대물 형부 젖 큰 처제,대물 형부 젖 큰 처제,2022-01-11,손님이 붐비는 옆집 마사지샵과 달리 손님없이 조용한 아라의 마사지샵  아라의 한숨과 아가씨들의 불만은 늘어만간다. 어느날 옆가게의 에이스 보미가 아라의 샵으로 오게 되고 아라를 통해 옆집 샵의 영업비밀을 알게된다. 그 영업비밀은...,,,,https://image.tmdb.org/t/p/w500/qr4VPAcn348XQWCLGT8aeKCnMg8.jpg,0,0.0,0,0.6654,,"Han Yi-seul, Jin Si-ah"
606403,특송,특송,2022-01-12,예상치 못한 배송사고로 걷잡을 수 없는 사건에 휘말린 특송 전문 드라이버 은하. 어쩌다 맡게 된 반송 불가 수하물에 출처를 알 수 없는 300억까지. 경찰과 국정원의 타겟이 되어 도심 한복판 모든 것을 건 추격전을 벌이게 되는데…,"액션, 범죄",South Korea,"Next Entertainment World, M Pictures",https://image.tmdb.org/t/p/w500/hDQndBAnyk1MCwszODgb5BgM6go.jpg,108,7.0,191,3.7829,Park Dae-min,"박소담, 김의성, 송새벽, 염혜란"
923330,수호무적,抗倭,2022-01-13,"왜구에 맞선 벼랑 끝 복수혈전이 시작된다!  명나라 가정제 32년, 왜구가 동남 연해 지역에 쳐들어오고,  이를 대적하기 위해 명나라의 병장국은 신식 무기 ‘비몽포’를 제작하기로 한다.  병장국에 책임자로 임명된 ‘노기’는 3년의 노고 끝에 ‘비몽포’를 완성하지만,  혼란한 상황 속에서 자신의 가족은 물론 동료까지 무참히 살해되고 만다.  가까스로 목숨을 부지한 ‘노기’는 가족과 동료들을 죽인 왜구에게  자비 없는 피의 복수를 시작하게 되는데…",,,,https://image.tmdb.org/t/p/w500/kWufKAiAKwFNyA8foRQqsQSJ5np.jpg,91,3.0,1,0.1429,Yihua Xu,"Huang Qian, Kai Song, Qi Xue, Jiang Xingcheng"
922618,"천년의 노래, 리버스","천년의 노래, 리버스",2022-01-13,"국립국악관현악단의 ‘천년의 노래, 리버스’ 공연실황으로 세 개의 무대로 꾸며져 있다.  첫 번째 무대는 윤선도 시인의 시 ‘오우가’중 ‘소나무’를 주제로 한 나효신 작곡가의 ‘저 소나무처럼’이다.  두 번째 무대는 안숙선 명창이 협연자로 나선 ‘흥보가 中 박 타는 대목’이다.  마지막은 이어령이 작사에 참여하고 우효원이 작곡한 ‘천녀의 노래, 리버스’다.",음악,,,https://image.tmdb.org/t/p/w500/5NoQheLNQ7ywkJK5ys4XAEbNIWk.jpg,60,0.0,0,0.0264,Sung Yu-jin,
987867,아빠의 여자친구,아빠의 여자친구,2022-01-14,평소에도 섹스를 즐기는 사이인 우열과 나라는 술을 먹고 나라의 집에서 같이 잠을 잔다. 돈 많은 우열의 아버지 강현은 자신의 여자친구 하연을 집에 들여 섹스를 나눈다. 하연은 우열과 집에서 마주치게 되고 우열과 섹스를 했던 경험이 있는 하연은 놀래서 우열을 데리고 나간다. 하연은 우열에게 자신과 만났던 걸 비밀로 해달라고 하고 우열은 비밀을 지켜주는 대신 섹스를 하자고 한다.,,,,,0,0.0,0,0.0363,,
952039,섹시한 과외선생,섹시한 과외선생,2022-01-14,어린나이에 도진과 결혼을 한 소라. 도진의 아버지 강현과 도진의 집에서 같이 살고 있다. 학교를 간다고 나가는 소라 재수생인 도진은 과외를 받고 있다. 과외선생님 연주가 공부를 위해 집으로 오고 강현과 마주친다. 강현은 연주를 보고 섹스를 하는 상상을 하게 된다.과외를 하던 중 도진은 연주를 꼬셔서 섹스를 하게 된다.,,,,,70,0.0,0,0.0071,,
926090,백조의 호수,백조의 호수,2022-01-15,"내면의 사악하고 어두운 자아에 이끌려 신비한 호수 둑으로 간 ‘지그프리드’ 왕자는  세상에서 가장 아름다운 백조 ‘오데트’를 우연히 만나 그녀에게 사랑을 맹세한다.  한편, 성에서는 예비 신부들이 산만한 왕자를 즐겁게 해주려고 하고  그중 매혹적인 백조 ‘오딜’은 ‘지그프리드’가 ‘오데트’에게 한 사랑의 맹세를 위협하게 되는데…",,,,https://image.tmdb.org/t/p/w500/sZHT5Td2ci85xLVTC7uBNeiFNJn.jpg,0,0.0,0,0.0143,,
943318,미술관의 변명,미술관의 변명,2022-01-18,"홀로 미술관을 지키고 있는 주인공 지훈. 그의 할 일은 데스크에 앉아서 전화를 받거나 미술관을 정리하는 일 외에는 없다. 미술관에는 이집트 목관 하나만 덩그러니 놓여 있고 아무것도 없는 공간이다. 미술관을 찾아오는 사람들은 하루에 겨우 한 두 명이다. 찾아오는 사람들은 30대 후반 여성, 일본인, 중년 남성 등 다양하다. 밤이 되면 방문객들은 미술관에 전화를 걸어 자신의 죽음에 대한 변명을 늘어놓는다. 그렇게 미술관을 지키기 시작한지 3일 만에 목관과 미술관의 이상한 기운과 걸려오는 전화들 때문에 지훈은 정신이 이상해지고 미쳐버려서 미술관 일을 그만두게 된다.","공포, 판타지, 스릴러",South Korea,,https://image.tmdb.org/t/p/w500/3xsjj4q8IP4BoV7AIcjxJo2N4Lf.jpg,38,0.0,0,0.1753,Kim Han-beom,"Lee Seung-su, Park Ji-soo, Lee Weon-young, Park Hye-in"
934867,우리가 함께한 시간,우리가 함께한 시간,2022-01-18,,로맨스,South Korea,Korean Film Council,https://image.tmdb.org/t/p/w500/igIcYdef0GMp2wdL6TMzDZBvYat.jpg,14,0.0,0,0.0256,Hongrin Kim,
762581,걸 위드 더 카메라,걸 위드 더 카메라,2022-01-20,"20대 초중반의 또래를 타깃으로 이미지의 중의적 의미, 그 사이의 괴리감에 대해 함께 고찰해 보는 시간을 갖는 프로젝트. ‘보여지는 나’와 ‘바라보는 나’는 어떻게 다른지, 두 가지 모습을 사진을 통해 구현해 봄으로써 각자의 이야기를 들여다본다.",다큐멘터리,South Korea,,https://image.tmdb.org/t/p/w500/27VFEkXfxYjOKn1BX4adFZv6xoV.jpg,68,0.0,0,0.0,Ahn Hee-su,
744877,미싱타는 여자들,미싱타는 여자들,2022-01-20,"1970년대 평화시장에는 가난해서 혹은 여자라서 공부 대신 미싱을 타며 시다 또는 공순이로 불린 소녀들이 있었다. 저마다 가슴에 부푼 꿈을 품고 향했던 노동교실, 그곳에서 소녀들은 서로의 이름을 부르고, 노래를 하고, 희망을 키웠다. 다른 시대를 살았던 청춘이 오늘의 청춘에게 보내온 편지.",다큐멘터리,South Korea,Flying Tiger Pictures,https://image.tmdb.org/t/p/w500/7EPHS3PatE6bjiZkbx33b2j58yE.jpg,110,0.0,0,0.3939,Kim Jung-young,"Lee Suk-hee, Shin Sun-ae, Lim Mi-kyung"
952035,구멍을 믿지 마세요,구멍을 믿지 마세요,2022-01-21,기석의 변태적인 성 생활에 지친 수미 이혼을 결심하고 말하려는 순간 로또 복권에 연속 당첨된 기석의 등장에 이혼 서류를 찢어 버린다. 수미는 기석의 돈을 빼내기 위해 예전 자신에게 사기 친 성호를 집으로 불려 들인다. 성호 또한 돈이라면 환장하는 신사동 꽃뱀 채연을 불러들여 거대한 사기 판을 벌인다. 기석의 돈을 쟁탈하기 위해 채연 성호 수미는 서로를 속고 속인다. 하지만 만만치 않은 기석의 반격도 거세지는데..,,,,https://image.tmdb.org/t/p/w500/tz6Hbi1E4zqmzpTocGGLqFDg2Ji.jpg,81,0.0,0,0.0143,,
937406,불량탐정 캠코인,불량탐정 캠코인,2022-01-21,,"드라마, 로맨스",South Korea,,https://image.tmdb.org/t/p/w500/iIZSMGlV8rjUUm1FkQ4MyjzWSy.jpg,60,0.0,0,0.6482,Richard Kim,"민도윤, Cha Won, 김지아, 우열"
938570,자지만말구요,자지만말구요,2022-01-22,,드라마,South Korea,,https://image.tmdb.org/t/p/w500/gzF55f0Ryr9lZn84uCV0dssCMw3.jpg,70,0.0,0,0.6704,Han Dae-wi,"Sae Bom, Eun Ha, 상우, Si Woo"
926478,장민호 드라마 최종회,장민호 드라마 최종회,2022-01-24,"노래, 댄스, 예능은 물론 퍼포먼스까지!  만능엔터테이너이자 트로트 꽃사슴으로 불리는  아티스트 장민호의 생애 첫 단독 콘서트 실황과 무대 밖 미공개 영상  그리고 팬들을 향한 그의 진심을 담은 콘서트 무비",음악,,,https://image.tmdb.org/t/p/w500/of5HvOFM6NkSmFERC29Ab2xahXU.jpg,106,0.0,0,0.0286,Cho Yoonsoo,장민호
900084,스와핑 : 옆집 신혼부부,스와핑 : 옆집 신혼부부,2022-01-24,"신혼부부인 세진은 발기부전, 옆집 남자는 제약회사 직원으로 새로운 발기부전 치료제를 테스트 중인데 부작용은 성욕이 멈추지 않는 것이다.",,,,https://image.tmdb.org/t/p/w500/xAga5oqSL6Lt2gmHT0hC7dILnxn.jpg,65,0.0,0,0.0777,,Ye Ri
1065109,나는 말이다,I Am a Horse,2022-01-26,"여자 아이들은 어디로 갔을까? 이중섭 화가의 작품들 속 여자 아이들은 없다. 이 영화는 반인반호(호랑이), 반인반마(말)인 여성들의 이야기이다. 그들은 가부장제 사회에서 딸, 아내, 그리고 어머니이기에는 너무 사납고 자유분방하다.",애니메이션,South Korea,,https://image.tmdb.org/t/p/w500/68dOTMpWoWfAv56iX3IzDRiB9sT.jpg,8,0.0,0,0.0143,Chaerin Im,
931801,화공 솔거,화공 솔거,2022-01-26,자신의 그림 속으로 들어갈 수 있는 특별한 능력을 가진 화공 `솔거`의 이야기를 그린 영화,"드라마, 애니메이션",South Korea,,https://image.tmdb.org/t/p/w500/3BCuZRIu6k36MxoCly0ex23xxtO.jpg,68,0.0,0,0.0143,Lee Kyu-jin,Lee Kyu-jin
591120,해적: 도깨비 깃발,해적: 도깨비 깃발,2022-01-26,"자칭 고려 제일검인 의적단 두목 무치와 바다를 평정한 해적선의 주인 해랑. 한 배에서 운명을 함께하게 된 이들이지만 산과 바다, 태생부터 상극으로 사사건건 부딪히며 바람 잘 날 없는 항해를 이어간다. 그러던 어느 날, 왜구선을 소탕하던 이들은 흔적도 없이 사라진 왕실의 보물이 어딘가 숨겨져 있다는 사실을 알게 되고 해적 인생에 다시없을 최대 규모의 보물을 찾아 위험천만한 모험에 나서기 시작한다. 하지만 사라진 보물을 노리는 건 이들뿐만이 아니었으니! 원하는 것을 얻기 위해 수단과 방법을 가리지 않는 역적 부흥수 또한 보물을 차지하기 위해 바다에 뛰어드는데...","액션, 모험, 코미디, 판타지",South Korea,"Oscar 10 Studio, ANEW, Lotte Entertainment",https://image.tmdb.org/t/p/w500/kGCLsiqw2AbPHFPraOsyGTUOUAk.jpg,126,6.5,208,3.5386,Kim Joung-hoon,"강하늘, 한효주, 이광수, 권상우"
573787,킹메이커,킹메이커,2022-01-26,"세상을 바꾸기 위해 도전하는 정치인 김운범 앞에 그와 뜻을 함께하고자 선거 전략가 서창대가 찾아온다. 열세인 상황 속에서 서창대는 아무도 상상하지 못한 선거 전략을 펼치고 김운범은 선거에 연이어 승리하며, 당을 대표하는 대통령 후보까지 올라서게 된다. 대통령 선거를 향한 본격적인 행보가 시작되고 그들은 당선을 위해 총력을 기울인다. 그러던 중 김운범 자택에 폭발물이 터지는 사건이 발생하고 용의자로 서창대가 지목되면서 둘의 관계는 새로운 국면을 맞이하게 되는데...","드라마, 역사",South Korea,"Plus M Entertainment, See Át Film",https://image.tmdb.org/t/p/w500/7Hn6Svl2ncOOY8bjOdsjnNmHYtf.jpg,123,7.1,26,2.1251,변성현,"설경구, 이선균, 유재명, 조우진"
936621,물오징어6969,물오징어6969,2022-01-27,"남편들에게 항상 성욕 불만족으로 다른 곳에서 일탈하던 유부녀 친구 세명, 그리고 남편의 발기부전으로 독수공방하다 최근 이혼한 돌싱녀 효지. 이들은 오랜만에 모여 서로의 불만을 토로하며 술자리를 가지던 중, 정체불명의 훈남에게 새로운 떡치기 게임을 해보고 싶지 않냐며 그에게 명함을 받게 된다. 넷은 고민하다 그렇게 약속의 장소로 향하게 되고 그들을 기다리고 있던 수상한 요원들과 만나게 되는데..","코미디, 드라마, 로맨스",South Korea,,https://image.tmdb.org/t/p/w500/dgSR6qBiQSqaa9QfSMiODAEOF3O.jpg,74,6.185,46,7.7979,Mongta,"우열, So Jeong, Lee Chae-dam, Kim Soo-ji"
926242,극장판 안녕 자두야: 제주도의 비밀,극장판 안녕 자두야: 제주도의 비밀,2022-01-27,"‘자두’는 제주도 가족여행에서 만난 엄친딸 제주 소녀 ‘전복’이가 못마땅하다. 게다가 ‘윤석’이를 바라보는 저 하트 눈빛은 뭐람! 베프 윤석이를 전복이가 독차지하자 화가 난 자두는 실수로 돌하르방을 넘어뜨리고, 먼 옛날 저주를 품고 봉인된 ‘보리’가 깨어난다. 보리가 쏜 돌하르방 빔에 맞은 사람들은 돌이 되어 굳어 버리고, 자두와 친구들은 모두를 원상태로 되돌릴 방법을 찾아 나서는데… 제주도로 자! 떠나보자 두! 명랑히어로 자두의 판타스틱 어드벤처! 제주도의 운명이 걸린 초특급 비밀은 과연 무엇일까?",애니메이션,South Korea,CJ ENM,https://image.tmdb.org/t/p/w500/la5lIEyodAtAmxBMrXYx9xF6Zsi.jpg,90,0.0,0,0.4894,Son Seok-woo,"여민정, 양정화, Kim Young-eun, Jeong Yu-mi"
923612,효자,효자,2022-01-27,"엄마가 돌아가시고 얼마 지나지 않아 닥친 태풍 소식에 5명의 형제들은 함께 산소를 찾아간다  그런데, 이게 도대체 무슨 일? 부서진 관 사이로 엄마의 시신이 온데간데 사라졌다?  알 수 없는 기막힌 상황에 집으로 돌아오자 좀비로 변한 엄마가 이들을 기다리는데...","코미디, 공포",South Korea,"Dreamfact Entertainment, Film Studio Gap (KR), Mog Pictures (KR), Samhyung Entertainment (KR), Sol Entertainment (KR), Value Players (KR)",https://image.tmdb.org/t/p/w500/dvtWec87XPvFb6wJOesuLDBHwj1.jpg,116,7.0,2,1.1924,Lee Hoon-guk,"김뢰하, 이철민, 정경호, 박효준"
916541,트로트는 인생이다,트로트는 인생이다,2022-01-27,"트로트 가수 ‘신하’(김경진, 김동찬)는 최근 고민이 많다. 아무리 신곡을 내고 홍보를 해도 그들을 찾는 무대는 없다.  새로운 방향을 모색하던 이들은 신입 멤버를 영입해 시대에 맞는 트로트 혼성 그룹 ‘뉴-신하’를 결성하기로 한다  때마침, 연습생 기간만 6년… 이제는 희망을 잃은 아이돌 지망생 ‘지원’(장소영)이 운명처럼 나타나는데!  희망찬 내일을 꿈꾸는 이들의 좌충우돌 도전기!  1월 27일, 우리들은 무대는 지금부터 시작된다!","코미디, 드라마",South Korea,,https://image.tmdb.org/t/p/w500/tzEfffY6P2icQoNaxr1vyevihbm.jpg,76,4.0,1,0.2543,TWO K,"Jang So-young, 김경진, Kim Sol-bi, Kim Dong-chan"
915742,존경하고 사랑하는 국민여러분,존경하고 사랑하는 국민여러분,2022-01-27,1971년 박정희에 당당히 맞선 정치 신인 대선 후보에서 1980년 전두환 신군부에게 사형 선고를 받은 사형수를 넘어 1997년 헌정사상 최초의 수평적 정권교체를 이루기까지 5차례의 죽음의 고비를 넘기며 독재 정권에 맞서 국민과 함께 싸운 김대중 그의 3전 4기 대권 도전사로 보는 한국 민주화 투쟁과 승리의 감동을 2022년 1월 스크린으로 만난다!,다큐멘터리,South Korea,"MBC, Mayplus, Gwangju MBC",https://image.tmdb.org/t/p/w500/mT5ucb1tSdxUPfVU3QVcaDY6HeE.jpg,82,0.0,0,0.5176,Kim Jin-hong,"김대중, 유시민, 박정희, 양희은"
913412,굿 애프터눈 스윗 드림,굿 애프터눈 스윗 드림,2022-01-27,,드라마,South Korea,,https://image.tmdb.org/t/p/w500/5HsykaOzTBvnSvsMYcDeG684YPU.jpg,63,0.0,0,0.1124,Bang Seung Hyeon,"손예원, Kim Woo Kyeom, Sung San Hee, Yang Min Ju"
952056,암수 부부의 정사 노트,암수 부부의 정사 노트,2022-01-28,잉꼬부부 현수와 애정은 결혼 7년차 이지만 아직 아이가 없어 늘 걱정이다. 어느 날 직장 후배 제니와 섹스를 하던 중 그녀에게 엄청난 제안을 받는다. 현수는 고민 끝에 그녀가 얘기해준 대로 철민 유라 부부를 집으로 부르게 된다.,,,,https://image.tmdb.org/t/p/w500/eDlrnZIVVjNkIKvP8Hepqv7FXTl.jpg,0,0.0,0,0.0571,,
925682,짬뽕비권,짬뽕비권,2022-01-28,"한탕주의에 빠져 살던 ‘호룡’은 번번이 사업 계약에 실패하며 쓰디쓴 현실을 살아간다.  그러던 어느 날, 중국집을 운영하던 아버지가  200년 만에 부활한 ‘흑마사’의 졸개들에게 죽임을 당한다.  ‘호룡’ 역시 그들에게 죽임을 당할뻔하지만,  중국집 종업원으로 일하던 ‘아랑’에 의해 구사일생으로 살아난다.  ‘흑마사’와 그의 졸개들을 피해 달아난 태기산에서  ‘호룡’은 자신이 나한파의 후예라는 사실과 가문의 비밀을 알게 되는데…  200년 만에 부활한 절대악 흑마사에 대항하여  나한파의 비밀의 무기를 대체할 궁극의 짬뽕을 완성하라!","액션, 코미디",,,https://image.tmdb.org/t/p/w500/QbUtNa1I58iKtV7I2C8XbmkPxy.jpg,82,5.5,2,0.4239,Park Dong-Gi,"백수장, 조운, 신민재, Lee Kyeong-uk"
1016312,예쁜 리포터,예쁜 리포터,2022-01-29,,로맨스,South Korea,,https://image.tmdb.org/t/p/w500/yzLky18ftVFTBnQ8YrIEbHg9g3L.jpg,70,4.0,1,0.9655,Richard Kim,"민도윤, Ahn So-hee, Kang Min-woo, Hayashi Risa"
938566,에스코트,에스코트,2022-01-29,,드라마,South Korea,,https://image.tmdb.org/t/p/w500/xradjRGodMvZs4DE4eo5Wsojc7v.jpg,70,0.0,0,0.3032,Lee Yeong-in,"Sae Bom, 우열, James"
